nhpd_id,cousub_name,nhpd_lat,nhpd_lon,ncessch,school_merge,zo_usety,zuse_merge,reg_type,l_r_fid,zone_merge
1051465,BOSTON,42.31287,-71.07667,BOSTON,both,1,both,9,2713,both
1050569,BOSTON,42.34276,-71.09994,BOSTON,both,1,both,482,8601,both
1050365,BOSTON,42.34364,-71.09656,BOSTON,both,1,both,482,8601,both
1051372,BOSTON,42.311059,-71.0591,BOSTON,both,1,both,56,4031,both
1051690,BOSTON,42.3153,-71.11518,BOSTON,both,1,both,269,6797,both
1050657,BOSTON,42.31953,-71.05918,BOSTON,both,1,both,88,4586,both
1050794,BOSTON,42.2839,-71.1283,BOSTON,both,1,both,259,6612,both
1051355,BOSTON,42.263022,-71.105202,BOSTON,both,3,both,264,6729,both
1019066,BOSTON,42.38026,-71.02805,BOSTON,both,1,both,60,4070,both
1050790,BOSTON,42.342205,-71.098657,BOSTON,both,1,both,482,8601,both
1103730,BOSTON,42.31294,-71.07522,BOSTON,both,1,both,9,2713,both
1052022,BOSTON,42.31807,-71.06458,BOSTON,both,3,both,274,6975,both
1051552,BOSTON,42.27148,-71.07959,BOSTON,both,1,both,104,4811,both
1014303,BOSTON,42.27158,-71.07952,BOSTON,both,2,both,104,4811,both
1151309,BOSTON,42.27143,-71.082252,BOSTON,both,2,both,104,4811,both
1009782,BOSTON,42.273074,-71.081584,BOSTON,both,2,both,104,4811,both
1051152,BOSTON,42.26981,-71.09117,BOSTON,both,1,both,273,6894,both
1051642,BOSTON,42.26979,-71.09181,BOSTON,both,1,both,273,6894,both
1050337,BOSTON,42.26665,-71.09564,BOSTON,both,3,both,427,8309,both
1051353,BOSTON,42.263817,-71.102005,BOSTON,both,1,both,259,6591,both
1051454,BOSTON,42.310612,-71.058844,BOSTON,both,1,both,88,4588,both
1050791,BOSTON,42.31671,-71.11219,BOSTON,both,1,both,252,6415,both
1009575,BOSTON,42.32193,-71.08403,BOSTON,both,1,both,9,2712,both
1051076,BOSTON,42.34157,-71.0678,BOSTON,both,3,both,470,8579,both
1018976,BOSTON,42.27958,-71.12078,BOSTON,both,1,both,259,6612,both
1051680,BOSTON,42.33008,-71.09313,BOSTON,both,1,both,9,2716,both
1050934,BOSTON,42.32977,-71.08555,BOSTON,both,3,both,423,8288,both
1051596,BOSTON,42.32938,-71.08573,BOSTON,both,3,both,423,8288,both
1013145,BOSTON,42.33181,-71.08321,BOSTON,both,3,both,423,8288,both
1050740,BOSTON,42.33194,-71.08375,BOSTON,both,1,both,380,7860,both
1130063,BOSTON,42.376538,-71.069424,BOSTON,both,3,both,390,7969,both
1052020,BOSTON,42.338985,-71.075286,BOSTON,both,1,both,466,8557,both
1050806,BOSTON,42.33928,-71.07548,BOSTON,both,1,both,466,8557,both
1051741,BOSTON,42.36683,-71.03989,BOSTON,both,2,both,34,3228,both
1050393,BOSTON,42.32956,-71.11106,BOSTON,both,1,both,456,8540,both
1052430,BOSTON,42.324713,-71.113095,BOSTON,both,3,both,454,8533,both
1051494,BOSTON,42.335042,-71.099185,BOSTON,both,1,both,256,6507,both
1003363,BOSTON,42.34312,-71.082781,BOSTON,both,3,both,390,7962,both
1051472,BOSTON,42.34499,-71.08052,BOSTON,both,3,both,390,7962,both
1050631,BOSTON,42.336489,-71.086654,BOSTON,both,3,both,454,8534,both
1050486,BOSTON,42.277152,-71.156547,BOSTON,both,1,both,54,3984,both
1105519,BOSTON,42.292,-71.0929,BOSTON,both,3,both,377,7856,both
1051221,BOSTON,42.37727,-71.03518,BOSTON,both,1,both,273,6935,both
1051112,BOSTON,42.31762,-71.08186,BOSTON,both,3,both,381,7885,both
1050326,BOSTON,42.31259,-71.09678,BOSTON,both,1,both,263,6712,both
1052345,BOSTON,42.3242,-71.0855,BOSTON,both,1,both,380,7863,both
1051842,BOSTON,42.35781,-71.05945,BOSTON,both,3,both,163,5184,both
1050738,BOSTON,42.30926,-71.08638,BOSTON,both,1,both,9,2711,both
1104540,BOSTON,42.309708,-71.09121,BOSTON,both,1,both,380,7869,both
1050759,BOSTON,42.30887,-71.09015,BOSTON,both,1,both,380,7869,both
1050580,BOSTON,42.30828,-71.08963,BOSTON,both,1,both,380,7869,both
1050641,BOSTON,42.30716,-71.08766,BOSTON,both,1,both,380,7869,both
1051455,BOSTON,42.307,-71.0877,BOSTON,both,1,both,380,7869,both
1052185,BOSTON,42.303316,-71.080775,BOSTON,both,1,both,9,2710,both
1051373,BOSTON,42.295518,-71.091065,BOSTON,both,1,both,273,6905,both
1051379,BOSTON,42.2965,-71.0894,BOSTON,both,1,both,57,4060,both
1104249,BOSTON,42.295482,-71.089151,BOSTON,both,1,both,273,6905,both
1051727,BOSTON,42.295653,-71.08897,BOSTON,both,1,both,273,6905,both
