station_id,station_name,line,layer,station_lat,station_lon,geometry,length_m,error
325,WAVERLEY,COMMUTER RAIL,TRAIN_NODES,42.38763534853575,-71.19059628256672,POINT (-71.19059628256672 42.38763534853575),14009.0,
326,PORTER SQUARE,COMMUTER RAIL,TRAIN_NODES,42.388397572820864,-71.11940725458233,POINT (-71.11940725458233 42.38839757282086),7710.0,
327,LITTLETON/ROUTE 495,COMMUTER RAIL,TRAIN_NODES,42.51929487413543,-71.50248772910989,POINT (-71.50248772910989 42.51929487413543),50530.0,
328,SOUTH ACTON,COMMUTER RAIL,TRAIN_NODES,42.46035517108453,-71.45790442315958,POINT (-71.45790442315958 42.46035517108453),43626.0,
329,WEST CONCORD,COMMUTER RAIL,TRAIN_NODES,42.45707367176413,-71.392724025223,POINT (-71.392724025223 42.45707367176413),37306.0,
330,SILVER HILL,COMMUTER RAIL,TRAIN_NODES,42.39568317703269,-71.3021092532709,POINT (-71.3021092532709 42.39568317703269),,"{'notices': [{'title': 'Routing is not possible due to missing stations in a given range', 'code': 'noStationsFound'}, {'title': 'Route between origin and destination is not possible given current input parameters', 'code': 'noRouteFound'}, {'title': 'This notice is deprecated, see noRouteFound', 'code': 'noRoutesFound'}], 'routes': []}"
331,KENDAL GREEN,COMMUTER RAIL,TRAIN_NODES,42.37977784071721,-71.28321535644922,POINT (-71.28321535644922 42.37977784071721),23275.0,
332,BRANDEIS/ROBERTS,COMMUTER RAIL,TRAIN_NODES,42.3619244444936,-71.26010669404783,POINT (-71.26010669404783 42.3619244444936),20505.0,
333,BELMONT,COMMUTER RAIL,TRAIN_NODES,42.39601733906687,-71.17582300056588,POINT (-71.17582300056588 42.39601733906687),12496.0,
334,NORTH LEOMINSTER,COMMUTER RAIL,TRAIN_NODES,42.54006555237639,-71.73985693037085,POINT (-71.73985693037085 42.54006555237639),75083.0,
336,AYER,COMMUTER RAIL,TRAIN_NODES,42.55906538713207,-71.58864922474248,POINT (-71.58864922474248 42.55906538713207),60030.0,
342,NORWOOD DEPOT,COMMUTER RAIL,TRAIN_NODES,42.1963099139796,-71.19692550404591,POINT (-71.19692550404591 42.1963099139796),22457.0,
343,MISHAWUM,COMMUTER RAIL,TRAIN_NODES,42.50306965588855,-71.13695782078237,POINT (-71.13695782078237 42.50306965588855),21771.0,
345,MALDEN CENTER,COMMUTER RAIL,TRAIN_NODES,42.42658622607523,-71.07425997463095,POINT (-71.07425997463095 42.42658622607523),9184.0,
347,WORCESTER,COMMUTER RAIL,TRAIN_NODES,42.26100830970639,-71.79463670867898,POINT (-71.79463670867898 42.26100830970639),71570.0,
348,MONTELLO,COMMUTER RAIL,TRAIN_NODES,42.10637074585089,-71.02182300366064,POINT (-71.02182300366064 42.10637074585089),30339.0,
349,CAMPELLO,COMMUTER RAIL,TRAIN_NODES,42.06107082722984,-71.01105499820144,POINT (-71.01105499820144 42.06107082722984),35808.0,
351,MIDDLEBOROUGH/LAKEVILLE,COMMUTER RAIL,TRAIN_NODES,41.87747611916436,-70.91736946835863,POINT (-70.91736946835863 41.87747611916436),57172.0,
352,BROCKTON,COMMUTER RAIL,TRAIN_NODES,42.08442899068229,-71.01653493330873,POINT (-71.01653493330873 42.08442899068229),32677.0,
353,HOLBROOK/RANDOLPH,COMMUTER RAIL,TRAIN_NODES,42.155424843328895,-71.02770747479515,POINT (-71.02770747479515 42.15542484332889),30888.0,
354,JFK/UMASS,COMMUTER RAIL,TRAIN_NODES,42.32072588821247,-71.05216104568869,POINT (-71.05216104568869 42.32072588821247),4235.0,
