station_id,station_name,line,layer,station_lat,station_lon,geometry
121,WORCESTER,COMMUTER RAIL,TRAIN_NODES,42.26100830970639,-71.79463670867898,POINT (-71.79463670867898 42.26100830970639)
122,MONTELLO,COMMUTER RAIL,TRAIN_NODES,42.10637074585089,-71.02182300366064,POINT (-71.02182300366064 42.10637074585089)
123,CAMPELLO,COMMUTER RAIL,TRAIN_NODES,42.06107082722984,-71.01105499820144,POINT (-71.01105499820144 42.06107082722984)
124,MIDDLEBOROUGH/LAKEVILLE,COMMUTER RAIL,TRAIN_NODES,41.877476119164356,-70.91736946835863,POINT (-70.91736946835863 41.87747611916436)
125,BROCKTON,COMMUTER RAIL,TRAIN_NODES,42.08442899068229,-71.01653493330873,POINT (-71.01653493330873 42.08442899068229)
126,HOLBROOK/RANDOLPH,COMMUTER RAIL,TRAIN_NODES,42.155424843328895,-71.02770747479515,POINT (-71.02770747479515 42.15542484332889)
127,JFK/UMASS,COMMUTER RAIL,TRAIN_NODES,42.32072588821247,-71.05216104568869,POINT (-71.05216104568869 42.32072588821247)
128,NEEDHAM JUNCTION,COMMUTER RAIL,TRAIN_NODES,42.27300524445726,-71.2365713633028,POINT (-71.2365713633028 42.27300524445726)
129,NEEDHAM CENTER,COMMUTER RAIL,TRAIN_NODES,42.28023532595592,-71.23785482105872,POINT (-71.23785482105872 42.28023532595592)
130,HERSEY,COMMUTER RAIL,TRAIN_NODES,42.27577350236045,-71.21460175387173,POINT (-71.21460175387173 42.27577350236045)
131,WEST ROXBURY,COMMUTER RAIL,TRAIN_NODES,42.281521827861376,-71.15981430483126,POINT (-71.15981430483126 42.28152182786138)
132,HIGHLAND,COMMUTER RAIL,TRAIN_NODES,42.284801931393154,-71.15422693831918,POINT (-71.15422693831918 42.28480193139315)
133,BELLEVUE,COMMUTER RAIL,TRAIN_NODES,42.28658429000856,-71.14547358998007,POINT (-71.14547358998007 42.28658429000856)
134,ROSLINDALE VILLAGE,COMMUTER RAIL,TRAIN_NODES,42.28705793738711,-71.13165992185225,POINT (-71.13165992185225 42.28705793738711)
135,ROUTE 128,COMMUTER RAIL,TRAIN_NODES,42.21029642508788,-71.14717681521078,POINT (-71.14717681521078 42.21029642508788)
136,BACK BAY,COMMUTER RAIL,TRAIN_NODES,42.347669682876756,-71.07510354614429,POINT (-71.07510354614429 42.34766968287676)
137,QUINCY CENTER,COMMUTER RAIL,TRAIN_NODES,42.25133419698715,-71.00524766888104,POINT (-71.00524766888104 42.25133419698715)
138,RUGGLES,COMMUTER RAIL,TRAIN_NODES,42.33654232448528,-71.08921593829662,POINT (-71.08921593829662 42.33654232448528)
139,Boston University Central,GREEN,MBTA_NODES,42.35004075702665,-71.10703612049464,POINT (-71.10703612049464 42.35004075702665)
140,Amory Street,GREEN,MBTA_NODES,42.35096616648161,-71.11470750829879,POINT (-71.11470750829879 42.35096616648161)
141,Babcock Street,GREEN,MBTA_NODES,42.3515930516766,-71.1199201198467,POINT (-71.1199201198467 42.3515930516766)
142,Packards Corner,GREEN,MBTA_NODES,42.351785813352066,-71.12522582972619,POINT (-71.12522582972619 42.35178581335207)
143,Harvard Avenue,GREEN,MBTA_NODES,42.35041177481019,-71.13100726113383,POINT (-71.13100726113383 42.35041177481019)
144,Griggs Street,GREEN,MBTA_NODES,42.348819512853055,-71.13436462642305,POINT (-71.13436462642305 42.34881951285305)
145,Allston Street,GREEN,MBTA_NODES,42.34857609500267,-71.13763680046425,POINT (-71.13763680046425 42.34857609500267)
146,Warren Street,GREEN,MBTA_NODES,42.34862364982648,-71.14024039501022,POINT (-71.14024039501022 42.34862364982648)
147,Washington Street,GREEN,MBTA_NODES,42.34412328995517,-71.14254885115989,POINT (-71.14254885115989 42.34412328995517)
148,Sutherland Road,GREEN,MBTA_NODES,42.341561497974766,-71.14632990186321,POINT (-71.14632990186321 42.34156149797477)
149,Chiswick Road,GREEN,MBTA_NODES,42.34061808283791,-71.15095131525393,POINT (-71.15095131525393 42.34061808283791)
150,Chestnut Hill Avenue,GREEN,MBTA_NODES,42.33857776881901,-71.15265529729677,POINT (-71.15265529729677 42.33857776881901)
151,South Street,GREEN,MBTA_NODES,42.3394540392699,-71.15726165487304,POINT (-71.15726165487304 42.3394540392699)
152,Boston College,GREEN,MBTA_NODES,42.340155438663125,-71.16702496371806,POINT (-71.16702496371806 42.34015543866312)
153,Cleveland Circle,GREEN,MBTA_NODES,42.33613671489414,-71.14928663073547,POINT (-71.14928663073547 42.33613671489414)
154,Englewood Avenue,GREEN,MBTA_NODES,42.33698480426935,-71.1454983930447,POINT (-71.1454983930447 42.33698480426935)
155,Dean Road,GREEN,MBTA_NODES,42.33771433525089,-71.14195534190397,POINT (-71.14195534190397 42.33771433525089)
156,Tappan Street,GREEN,MBTA_NODES,42.33851881948178,-71.138441384533,POINT (-71.138441384533 42.33851881948178)
157,Washington Square,GREEN,MBTA_NODES,42.339327415868944,-71.13536707673275,POINT (-71.13536707673275 42.33932741586894)
158,Fairbanks Street,GREEN,MBTA_NODES,42.339640256149345,-71.13129703270397,POINT (-71.13129703270397 42.33964025614934)
159,Brandon Hall,GREEN,MBTA_NODES,42.34005363816764,-71.12865720041415,POINT (-71.12865720041415 42.34005363816764)
160,Summit Ave/Winchester St,GREEN,MBTA_NODES,42.34102836524752,-71.12578786977899,POINT (-71.12578786977899 42.34102836524752)
161,Coolidge Corner,GREEN,MBTA_NODES,42.342149985575624,-71.12129543780442,POINT (-71.12129543780442 42.34214998557562)
162,Saint Paul Street,GREEN,MBTA_NODES,42.34321042469037,-71.11718908593329,POINT (-71.11718908593329 42.34321042469037)
163,Kent Street,GREEN,MBTA_NODES,42.34401012128091,-71.11429128686976,POINT (-71.11429128686976 42.34401012128091)
164,Hawes Street,GREEN,MBTA_NODES,42.34485991616288,-71.11117480120801,POINT (-71.11117480120801 42.34485991616288)
165,Saint Marys Street,GREEN,MBTA_NODES,42.345987371550244,-71.10723956448349,POINT (-71.10723956448349 42.34598737155024)
166,Fenway,GREEN,MBTA_NODES,42.34515863711736,-71.10460442804983,POINT (-71.10460442804983 42.34515863711736)
167,Longwood,GREEN,MBTA_NODES,42.341669116547045,-71.10993456944726,POINT (-71.10993456944726 42.34166911654705)
168,Brookline Village,GREEN,MBTA_NODES,42.33259466444778,-71.11682793517372,POINT (-71.11682793517372 42.33259466444778)
169,Brookline Hills,GREEN,MBTA_NODES,42.33129459027273,-71.1267274031737,POINT (-71.1267274031737 42.33129459027273)
170,Beaconsfield,GREEN,MBTA_NODES,42.33569218472981,-71.14025927261312,POINT (-71.14025927261312 42.33569218472981)
171,Reservoir,GREEN,MBTA_NODES,42.335139909036485,-71.14837901822938,POINT (-71.14837901822938 42.33513990903649)
172,Chestnut Hill,GREEN,MBTA_NODES,42.32674178162948,-71.16460873449554,POINT (-71.16460873449554 42.32674178162948)
173,Newton Centre,GREEN,MBTA_NODES,42.3294154875297,-71.19236980764195,POINT (-71.19236980764195 42.3294154875297)
174,Newton Highlands,GREEN,MBTA_NODES,42.32235408060331,-71.20550185798365,POINT (-71.20550185798365 42.32235408060331)
175,Eliot,GREEN,MBTA_NODES,42.31897816711644,-71.2165880469504,POINT (-71.21658804695041 42.31897816711644)
176,Woodland,GREEN,MBTA_NODES,42.33283282398844,-71.24326789756216,POINT (-71.24326789756216 42.33283282398844)
177,Riverside,GREEN,MBTA_NODES,42.33739840813053,-71.25255434001781,POINT (-71.25255434001781 42.33739840813053)
178,Downtown Crossing,ORANGE/RED,MBTA_NODES,42.35543397801344,-71.06051209466872,POINT (-71.06051209466872 42.35543397801344)
179,Park Street,GREEN/RED,MBTA_NODES,42.35620326817115,-71.06230983470068,POINT (-71.06230983470068 42.35620326817115)
180,JFK/UMass,RED,MBTA_NODES,42.32063650945969,-71.05236076657424,POINT (-71.05236076657424 42.32063650945969)
181,State,BLUE/ORANGE,MBTA_NODES,42.35879934320049,-71.05781905424712,POINT (-71.05781905424712 42.35879934320049)
182,Roxbury Crossing,ORANGE,MBTA_NODES,42.33086764562735,-71.09600501912232,POINT (-71.09600501912232 42.33086764562735)
183,Airport Terminal B2,SILVER,MBTA_NODES,42.36307521090779,-71.01836771345887,POINT (-71.01836771345887 42.36307521090779)
184,Design Center,SILVER,MBTA_NODES,42.34458204262589,-71.03460702341447,POINT (-71.03460702341447 42.34458204262589)
185,Lenox St,SILVER,MBTA_NODES,42.3351666595186,-71.07854226688733,POINT (-71.07854226688733 42.3351666595186)
186,Massachusetts Ave,SILVER,MBTA_NODES,42.336249667904475,-71.07719975835843,POINT (-71.07719975835843 42.33624966790448)
187,Newton Street,SILVER,MBTA_NODES,42.338690853049094,-71.07375725814244,POINT (-71.07375725814244 42.33869085304909)
188,Union Park Street,SILVER,MBTA_NODES,42.34143480440312,-71.06921600632411,POINT (-71.06921600632411 42.34143480440312)
189,East Berkeley Street,SILVER,MBTA_NODES,42.3437744818671,-71.06619602685075,POINT (-71.06619602685075 42.3437744818671)
190,Herald Street,SILVER,MBTA_NODES,42.34562558200228,-71.06489500040313,POINT (-71.06489500040313 42.34562558200228)
191,Worcester Square,SILVER,MBTA_NODES,42.33755503470711,-71.07539890805542,POINT (-71.07539890805542 42.33755503470711)
192,Melnea Cass Blvd,SILVER,MBTA_NODES,42.332701674108414,-71.08119881373594,POINT (-71.08119881373594 42.33270167410841)
193,Tuffs Medical Center,SILVER,MBTA_NODES,42.3496106302058,-71.06369205125215,POINT (-71.06369205125215 42.3496106302058)
194,Tide St,SILVER,MBTA_NODES,42.34521750186478,-71.03205071907388,POINT (-71.03205071907388 42.34521750186478)
195,Harbor St,SILVER,MBTA_NODES,42.3465600173793,-71.03497768717902,POINT (-71.03497768717902 42.3465600173793)
196,Airport Terminal B1,SILVER,MBTA_NODES,42.36133964721221,-71.01854353610543,POINT (-71.01854353610543 42.36133964721221)
197,Airport Terminal A,SILVER,MBTA_NODES,42.36472556102154,-71.02115393308613,POINT (-71.02115393308613 42.36472556102154)
198,Airport Terminal C,SILVER,MBTA_NODES,42.367236296390786,-71.01783243617507,POINT (-71.01783243617507 42.36723629639079)
199,Airport Terminal E,SILVER,MBTA_NODES,42.36963803996327,-71.02102932415556,POINT (-71.02102932415556 42.36963803996327)
200,Silver Line Way,SILVER,MBTA_NODES,42.346969888300706,-71.03803715091142,POINT (-71.03803715091142 42.34696988830071)
